ID,Date,Island,Treatment,Species,TL_cm,AgeFinal
T08,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8.5,2
T09,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8.7,2
T10,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8,2
T11,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8.4,2
T12,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,10.6,7
T13,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,10.8,6
T14,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.8,5
T15,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,10.2,5
T16,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.5,2
T17,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.7,5
T18,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9,2
T19,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.1,3
T20,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,10,4
T21,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.4,4
T22,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.5,2
T23,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.3,7
T24,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8.8,2
T25,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.3,5
T26,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.2,5
T27,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8,2
T28,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.2,2
T29,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8.9,4
T30,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8.4,2
T31,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.4,3
T32,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8.6,3
T33,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.2,3
